Date,Open,High,Low,Close,Volume
1964-06-30,50.59,51.87,49.25,51.62,0
1964-07-31,51.63,53.42,51.48,52.77,0
1964-08-31,52.78,52.98,51.29,52.12,0
1964-09-30,52.13,54.21,51.96,53.82,0
1964-10-31,53.83,54.98,53.54,54.48,0
1964-11-30,54.49,55.87,54.18,54.39,0
1964-12-31,54.4,55.1,53.36,54.83,0
1965-01-31,54.84,57.45,54.21,57.03,0
1965-02-28,57.05,57.59,55.78,57.33,0
1965-03-31,57.35,57.87,56.49,56.95,0
1965-04-30,56.97,59.62,56.78,59.34,0
1965-05-31,59.36,60.58,58.48,59.29,0
1965-06-30,59.31,59.57,54.55,56.85,0
1965-07-31,56.88,58.65,56.5,58.06,0
1965-08-31,58.08,60.26,57.79,59.84,0
1965-09-30,59.86,63,59.53,62.23,0
1965-10-31,62.25,64.92,61.8,64.43,0
1965-11-30,64.45,65.32,63.78,64.34,0
1965-12-31,64.36,65.89,62.74,65.45,0
1966-01-31,65.46,67.19,64.9,66.05,0
1966-02-28,66.06,67.45,64.55,65.12,0
1966-03-31,65.14,65.44,62.03,64,0
1966-04-30,64.02,66.91,63.82,65.59,0
1966-05-31,65.6,66.1,60.06,62.3,0
1966-06-30,62.32,63.69,60.86,61.58,0
1966-07-31,61.59,64.17,60.57,61.01,0
1966-08-31,60.95,61.87,54.18,56.53,0
1966-09-30,56.55,59.39,55.08,56.39,0
1966-10-31,56.4,59.84,53.3,59.33,0
1966-11-30,59.34,61.55,58.55,59.77,0
1966-12-31,59.78,62.44,59.08,59.95,0
1967-01-31,59.97,66.16,59.32,65.13,0
1967-02-28,65.16,67.2,64.46,65.72,0
1967-03-31,65.74,69.92,65.66,68.86,0
1967-04-30,68.89,72.89,67.22,72.31,0
1967-05-31,72.33,73.45,68.79,69.08,0
1967-06-30,69.11,72.67,67.69,70.88,0
1967-07-31,70.9,75.26,70.5,74.66,0
1967-08-31,74.69,76.4,73.05,74.44,0
1967-09-30,74.47,78.63,73.96,77.47,0
1967-10-31,77.5,78.89,75.38,75.39,0
1967-11-30,75.42,77.75,73.15,76.55,0
1967-12-31,76.58,79.54,76.1,79.19,0
1968-01-31,79.22,80.54,75.54,76.34,0
1968-02-29,76.37,77.39,72,74.49,0
1968-03-31,74.52,76.4,72.6,75.79,0
1968-04-30,76.59,83.46,76.59,82.52,0
1968-05-31,82.55,84.93,81.56,84.27,0
1968-06-30,84.33,88.09,84.33,85.6,0
1968-07-31,85.63,89.32,83.8,84.58,0
1968-08-31,84.61,86.76,82.96,86.16,0
1968-09-30,86.19,90.85,85.71,90.08,0
1968-10-31,90.12,93.26,89.35,91.39,0
1968-11-30,91.42,97.07,90.08,96.43,0
1968-12-31,96.47,97.36,92.3,93.09,0
1969-01-31,93.13,94.07,86.88,93.12,0
1969-02-28,93.16,94.79,88.57,89.34,0
1969-03-31,89.38,93.92,88.75,93.15,0
1969-04-30,93.19,96.76,91.07,95.96,0
1969-05-31,96,99.18,95.11,96.56,0
1969-06-30,96.59,96.87,89.44,91.97,0
1969-07-31,92.01,94.59,83.55,87.18,0
1969-08-31,87.31,92.16,87.17,91.47,0
1969-09-30,91.5,93.15,88.11,89.96,0
1969-10-31,90,96.2,88.63,94.74,0
1969-11-30,94.78,97.04,90.67,92.25,0
1969-12-31,92.29,92.94,87.67,91.39,0
1970-01-31,91.4,93.58,84.02,84.62,0
1970-02-28,84.63,90.11,84.26,89.29,0
1970-03-31,89.3,91.06,86.16,89.65,0
1970-04-30,89.66,90.74,79.54,81.76,0
1970-05-31,81.77,82.58,68.97,76.98,0
1970-06-30,76.99,80.48,72.86,73.33,0
1970-07-31,73.34,79.91,71.32,78.92,0
1970-08-31,78.93,83.6,75.04,82.65,0
1970-09-30,82.66,86.4,81.08,85.7,0
1970-10-31,85.71,89.25,83.86,84.86,0
1970-11-30,84.88,89.53,83.97,89.12,0
1970-12-31,89.13,95.29,88.01,94.44,0
1971-01-31,94.44,99,92.9,98.37,0
1971-02-28,98.38,102.2,97.86,101.3,0
1971-03-31,101.8,106,101.8,106,0
1971-04-30,106.3,112.5,106.3,112.3,0
1971-05-31,111.3,111.8,107.5,108.3,0
1971-06-30,108.9,110.8,105.5,107.8,0
1971-07-31,108.5,111.2,105.3,105.3,0
1971-08-31,105.6,109.3,103,108.4,0
1971-09-30,108.6,110.6,108.2,109,0
1971-10-31,109.6,111,104.3,105.1,0
1971-11-30,103.7,105.7,100.3,104,0
1971-12-31,105.8,114.1,105.8,114.1,0
1972-01-31,113.6,118.9,113.6,118.9,0
1972-02-29,119.6,125.4,119.6,125.4,0
1972-03-31,126.3,128.9,125.7,128.1,0
1972-04-30,128.1,134.1,115.2,131.3,0
1972-05-31,130.2,133.9,125.8,132.5,0
1972-06-30,133.1,133.5,129.3,130.1,0
1972-07-31,130.6,131.9,127.1,127.8,0
1972-08-31,128.4,131.7,128.4,129.9,0
1972-09-30,130.7,130.7,126.8,129.6,0
1972-10-31,129.3,130.2,125.9,130.2,0
1972-11-30,131.6,133.6,131.6,133,0
1972-12-31,133.9,135.1,131.1,133.7,0
1973-01-31,134.6,136.8,128.2,128.4,0
1973-02-28,126.9,127.2,119.8,120.4,0
1973-03-31,119.5,122.3,115.5,117.5,0
1973-04-30,115.8,115.8,107.8,107.8,0
1973-05-31,108,110.9,100.8,102.6,0
1973-06-30,102.3,104.8,99.4,101,0
1973-07-31,100.1,109.4,99.4,108.6,0
1973-08-31,107.1,107.3,101.3,104.9,0
1973-09-30,105.5,111.3,105.3,111.2,0
1973-10-31,111,114.1,110.2,110.2,0
1973-11-30,109.6,109.6,93.1,93.5,0
1973-12-31,92,93.5,88.7,92.2,0
1974-01-31,92.5,95.9,91.4,94.9,0
1974-02-28,94.1,94.3,90.1,94.3,0
1974-03-31,94.1,96.5,92.3,92.3,0
1974-04-30,91.9,92.1,86,86.9,0
1974-05-31,87.6,88,79.8,80.2,0
1974-06-30,81.1,83.9,76,76,0
1974-07-31,75.4,75.4,69.6,70,0
1974-08-31,69.6,71.7,61.4,62.4,0
1974-09-30,60.9,60.9,55.7,55.7,0
1974-10-31,55.5,65.2,54.9,65.2,0
1974-11-30,65.1,66.7,60.8,62.9,0
1974-12-31,61.7,61.7,57.9,59.8,0
1975-01-31,60.7,69.8,60.7,69.8,0
1975-02-28,70.7,73.8,70.1,72.5,0
1975-03-31,73.8,76.3,73.8,75.7,0
1975-04-30,75.4,79.1,74.3,78.5,0
1975-05-31,79.3,82.9,79.3,80.1,0
1975-06-30,83.9,87,82.9,87,0
1975-07-31,86.3,88,82.7,83.2,0
1975-08-31,81.8,81.8,75.5,79,0
1975-09-30,77.9,78.1,73.8,74.3,0
1975-10-31,73.8,79.1,73.8,77,0
1975-11-30,76.6,79.3,76.6,78.8,0
1975-12-31,78.7,78.7,71.2,77.6,0
1976-01-31,78.1,87.1,78.1,87.1,0
1976-02-29,87.3,92.1,87.3,90.3,0
1976-03-31,90.3,91.2,89.5,90.6,0
1976-04-30,90.4,91.6,88.6,90.1,0
1976-05-31,89.1,90.6,87.8,88,0
1976-06-30,87.8,90.3,86.9,90.3,0
1976-07-31,90.3,92.5,90.3,91.3,0
1976-08-31,91.3,92,89.1,89.7,0
1976-09-30,90.6,92.4,90.5,91.3,0
1976-10-31,90.4,90.5,88.7,90.3,0
1976-11-30,90.4,91.4,87.8,91.1,0
1976-12-31,91.8,97.9,91.8,97.9,0
1977-01-31,97.7,97.7,95.5,95.5,0
1977-02-28,96.3,96.7,94.6,94.6,0
1977-03-31,95.1,96.6,94.1,94.1,0
1977-04-30,94.5,96.4,93.7,95.5,0
1977-05-31,95.8,98.5,95.6,95.6,0
1977-06-30,95.9,99.7,95.8,99.7,0
1977-07-31,99.9,103.1,99.9,100.6,0
1977-08-31,100.8,100.9,99.9,100.1,0
1977-09-30,100.4,101.3,99.5,100.8,0
1977-10-31,101.2,101.7,96.8,97.5,0
1977-11-30,96.7,104.3,96.5,103.1,0
1977-12-31,103.7,105.1,102.5,105.1,0
1978-01-31,104,104,99.1,100.8,0
1978-02-28,101.5,103.6,101.5,101.5,0
1978-03-31,101.5,106.2,101.5,106.2,0
1978-04-30,105.9,115.2,105.9,115.2,0
1978-05-31,116,121.9,116,120.2,0
1978-06-30,120.3,124.5,119.2,120.3,0
1978-07-31,120.1,126.3,118.8,126.3,0
1978-08-31,126.8,135.8,126.8,135,0
1978-09-30,135.4,139.3,132,132.9,0
1978-10-31,133.3,135.6,111.1,111.1,0
1978-11-30,114.6,116.2,110.9,114.7,0
1978-12-31,116.2,119.1,114.3,118,0
1979-01-31,117.8,127,117.8,125.8,0
1979-02-28,125.8,125.8,122.6,122.6,0
1979-03-31,123.3,131.8,123.3,131.8,0
1979-04-30,131.4,134.8,131.4,133.8,0
1979-05-31,133.8,134.2,129,131.4,0
1979-06-30,131.8,138.1,131.8,138.1,0
1979-07-31,137,141.3,137,141.3,0
1979-08-31,141.9,150.4,141.9,150.4,0
1979-09-30,148.5,150.6,146,150,0
1979-10-31,149.6,152.3,132.6,135.5,0
1979-11-30,136.4,144.3,134.1,144.3,0
1979-12-31,143.9,151.1,143.9,151.1,0
1980-01-31,148.2,161.8,146,161.8,0
1980-02-29,162.3,165.3,157.5,158,0
1980-03-31,156.9,156.9,124.1,131,0
1980-04-30,133.1,140,133.1,140,0
1980-05-31,139.7,150.7,139.7,150.4,0
1980-06-30,150.2,159.2,149.9,157.8,0
1980-07-31,158.2,172.3,158.2,171.8,0
1980-08-31,172.5,182.4,171.9,181.5,0
